tau,freq
34.0,1.4929807509991774e-06
34.1,1.4929807509991774e-06
34.2,2.239471126498766e-06
34.3,3.7324518774979432e-06
34.4,1.8662259387489716e-06
34.5,1.8662259387489716e-06
34.6,1.8662259387489716e-06
34.7,3.7324518774979432e-06
34.8,1.4929807509991774e-06
34.9,2.239471126498766e-06
35.0,2.6127163142485602e-06
35.1,2.239471126498766e-06
35.2,1.119735563249383e-06
35.3,1.4929807509991774e-06
35.4,1.8662259387489716e-06
35.5,2.985961501998355e-06
35.6,1.4929807509991774e-06
35.7,2.6127163142485602e-06
35.8,1.8662259387489716e-06
35.9,1.8662259387489716e-06
36.0,2.6127163142485602e-06
36.1,1.4929807509991774e-06
36.2,1.119735563249383e-06
36.3,1.119735563249383e-06
36.4,1.4929807509991774e-06
36.5,1.8662259387489716e-06
36.6,1.119735563249383e-06
36.7,1.4929807509991774e-06
36.8,1.119735563249383e-06
36.9,7.464903754995887e-07
37.0,7.464903754995887e-07
37.1,1.119735563249383e-06
37.2,1.119735563249383e-06
37.3,1.119735563249383e-06
37.4,1.8662259387489716e-06
37.5,1.8662259387489716e-06
37.6,2.6127163142485602e-06
37.7,1.119735563249383e-06
37.8,3.7324518774979432e-06
37.9,3.7324518774979435e-07
38.0,7.464903754995887e-07
38.1,1.8662259387489716e-06
38.2,1.119735563249383e-06
38.3,2.985961501998355e-06
38.4,1.4929807509991774e-06
38.5,1.4929807509991774e-06
38.6,1.4929807509991774e-06
38.7,1.8662259387489716e-06
38.8,1.4929807509991774e-06
38.9,1.4929807509991774e-06
39.0,1.8662259387489716e-06
39.1,7.464903754995887e-07
39.2,1.8662259387489716e-06
39.3,1.8662259387489716e-06
39.4,3.7324518774979435e-07
39.5,2.239471126498766e-06
39.8,1.4929807509991774e-06
39.9,1.8662259387489716e-06
40.0,2.985961501998355e-06
40.1,1.4929807509991774e-06
40.2,3.7324518774979435e-07
40.3,2.6127163142485602e-06
40.4,7.464903754995887e-07
40.5,2.6127163142485602e-06
40.6,1.8662259387489716e-06
40.7,7.464903754995887e-07
40.8,1.4929807509991774e-06
40.9,7.464903754995887e-07
41.0,1.119735563249383e-06
41.1,2.6127163142485602e-06
41.2,1.8662259387489716e-06
41.3,3.7324518774979435e-07
41.4,1.119735563249383e-06
41.5,2.6127163142485602e-06
41.7,7.464903754995887e-07
41.8,7.464903754995887e-07
41.9,7.464903754995887e-07
42.1,1.119735563249383e-06
42.2,1.119735563249383e-06
42.3,1.119735563249383e-06
42.4,7.464903754995887e-07
42.5,1.4929807509991774e-06
42.6,1.4929807509991774e-06
42.7,1.4929807509991774e-06
42.8,7.464903754995887e-07
42.9,3.7324518774979435e-07
43.0,1.119735563249383e-06
43.1,7.464903754995887e-07
43.2,3.7324518774979435e-07
43.3,7.464903754995887e-07
43.4,7.464903754995887e-07
43.5,7.464903754995887e-07
43.6,1.119735563249383e-06
43.7,7.464903754995887e-07
43.8,1.119735563249383e-06
43.9,3.7324518774979435e-07
44.1,1.119735563249383e-06
44.2,7.464903754995887e-07
44.3,7.464903754995887e-07
44.4,1.4929807509991774e-06
44.5,3.7324518774979435e-07
44.6,1.4929807509991774e-06
44.7,1.4929807509991774e-06
44.8,1.119735563249383e-06
44.9,1.4929807509991774e-06
45.0,7.464903754995887e-07
45.1,7.464903754995887e-07
45.3,1.8662259387489716e-06
45.4,1.119735563249383e-06
45.5,3.7324518774979435e-07
45.6,7.464903754995887e-07
45.7,7.464903754995887e-07
45.8,7.464903754995887e-07
45.9,1.8662259387489716e-06
46.0,3.7324518774979435e-07
46.1,3.7324518774979435e-07
46.2,1.8662259387489716e-06
46.4,7.464903754995887e-07
46.6,1.8662259387489716e-06
46.8,3.7324518774979435e-07
46.9,3.7324518774979435e-07
47.0,3.7324518774979435e-07
47.1,7.464903754995887e-07
47.2,7.464903754995887e-07
47.3,3.7324518774979435e-07
47.4,7.464903754995887e-07
47.5,1.119735563249383e-06
47.6,1.119735563249383e-06
47.7,1.4929807509991774e-06
47.8,1.4929807509991774e-06
47.9,3.7324518774979435e-07
48.0,3.7324518774979435e-07
48.1,3.7324518774979435e-07
48.2,7.464903754995887e-07
48.3,3.7324518774979435e-07
48.4,3.7324518774979435e-07
48.5,3.7324518774979435e-07
48.6,7.464903754995887e-07
48.7,3.7324518774979435e-07
48.8,1.4929807509991774e-06
49.0,3.7324518774979435e-07
49.2,3.7324518774979435e-07
49.3,7.464903754995887e-07
49.4,7.464903754995887e-07
49.5,7.464903754995887e-07
49.7,3.7324518774979435e-07
49.8,7.464903754995887e-07
49.9,1.4929807509991774e-06
50.0,7.464903754995887e-07
50.1,7.464903754995887e-07
50.2,1.119735563249383e-06
50.3,3.7324518774979435e-07
50.4,1.8662259387489716e-06
50.5,7.464903754995887e-07
50.7,3.7324518774979435e-07
50.9,3.7324518774979435e-07
51.0,3.7324518774979435e-07
51.1,3.7324518774979435e-07
51.2,1.8662259387489716e-06
51.5,7.464903754995887e-07
51.7,1.119735563249383e-06
51.9,7.464903754995887e-07
52.0,3.7324518774979435e-07
52.1,3.7324518774979435e-07
52.2,1.119735563249383e-06
52.4,7.464903754995887e-07
52.5,7.464903754995887e-07
52.6,7.464903754995887e-07
52.7,7.464903754995887e-07
52.9,7.464903754995887e-07
53.0,3.7324518774979435e-07
53.1,1.119735563249383e-06
53.2,1.119735563249383e-06
53.3,7.464903754995887e-07
53.4,3.7324518774979435e-07
53.5,1.119735563249383e-06
53.6,1.119735563249383e-06
53.7,1.4929807509991774e-06
53.8,7.464903754995887e-07
54.0,1.4929807509991774e-06
54.1,7.464903754995887e-07
54.2,3.7324518774979435e-07
54.3,7.464903754995887e-07
54.4,3.7324518774979435e-07
54.5,7.464903754995887e-07
54.7,3.7324518774979435e-07
54.8,3.7324518774979435e-07
54.9,3.7324518774979435e-07
55.0,1.119735563249383e-06
55.1,7.464903754995887e-07
55.2,3.7324518774979435e-07
55.3,3.7324518774979435e-07
55.4,3.7324518774979435e-07
55.5,1.119735563249383e-06
55.6,7.464903754995887e-07
55.7,1.4929807509991774e-06
56.0,3.7324518774979435e-07
56.1,1.119735563249383e-06
56.3,1.119735563249383e-06
56.4,7.464903754995887e-07
56.5,3.7324518774979435e-07
56.6,3.7324518774979435e-07
56.8,3.7324518774979435e-07
56.9,1.4929807509991774e-06
57.0,1.8662259387489716e-06
57.2,1.119735563249383e-06
57.3,1.119735563249383e-06
57.5,3.7324518774979435e-07
57.6,7.464903754995887e-07
57.7,3.7324518774979435e-07
57.8,3.7324518774979435e-07
57.9,7.464903754995887e-07
58.0,3.7324518774979435e-07
58.1,7.464903754995887e-07
58.3,2.239471126498766e-06
58.4,3.7324518774979435e-07
58.5,3.7324518774979435e-07
58.6,3.7324518774979435e-07
58.7,1.119735563249383e-06
58.8,7.464903754995887e-07
58.9,7.464903754995887e-07
59.0,1.8662259387489716e-06
59.1,7.464903754995887e-07
59.2,7.464903754995887e-07
59.3,3.7324518774979435e-07
59.4,3.7324518774979435e-07
59.7,3.7324518774979435e-07
59.9,7.464903754995887e-07
60.0,7.464903754995887e-07
60.1,3.7324518774979435e-07
60.3,1.8662259387489716e-06
60.5,7.464903754995887e-07
60.6,3.7324518774979435e-07
60.7,7.464903754995887e-07
60.8,1.119735563249383e-06
60.9,3.7324518774979435e-07
61.1,7.464903754995887e-07
61.2,1.4929807509991774e-06
61.5,3.7324518774979435e-07
61.7,3.7324518774979435e-07
61.8,3.7324518774979435e-07
61.9,1.119735563249383e-06
62.1,1.4929807509991774e-06
62.2,1.4929807509991774e-06
62.3,7.464903754995887e-07
62.4,3.7324518774979435e-07
62.6,7.464903754995887e-07
62.7,3.7324518774979435e-07
62.8,3.7324518774979435e-07
62.9,7.464903754995887e-07
63.0,3.7324518774979435e-07
63.1,3.7324518774979435e-07
63.3,3.7324518774979435e-07
63.5,3.7324518774979435e-07
63.6,1.119735563249383e-06
63.8,3.7324518774979435e-07
63.9,7.464903754995887e-07
64.0,3.7324518774979435e-07
64.1,3.7324518774979435e-07
64.2,7.464903754995887e-07
64.3,1.4929807509991774e-06
64.6,7.464903754995887e-07
64.8,7.464903754995887e-07
64.9,7.464903754995887e-07
65.0,7.464903754995887e-07
65.1,3.7324518774979435e-07
65.2,1.119735563249383e-06
65.4,7.464903754995887e-07
65.8,3.7324518774979435e-07
66.0,7.464903754995887e-07
66.1,1.8662259387489716e-06
66.2,3.7324518774979435e-07
66.3,3.7324518774979435e-07
66.4,1.119735563249383e-06
66.5,3.7324518774979435e-07
66.7,3.7324518774979435e-07
66.8,1.119735563249383e-06
66.9,7.464903754995887e-07
67.0,3.7324518774979435e-07
67.1,3.7324518774979435e-07
67.2,1.119735563249383e-06
67.4,3.7324518774979435e-07
67.5,3.7324518774979435e-07
67.6,3.7324518774979435e-07
67.7,3.7324518774979435e-07
67.8,3.7324518774979435e-07
67.9,3.7324518774979435e-07
68.0,7.464903754995887e-07
68.1,7.464903754995887e-07
68.3,7.464903754995887e-07
68.4,3.7324518774979435e-07
68.5,3.7324518774979435e-07
68.7,3.7324518774979435e-07
68.8,7.464903754995887e-07
68.9,3.7324518774979435e-07
69.0,3.7324518774979435e-07
69.2,3.7324518774979435e-07
69.3,1.119735563249383e-06
69.4,7.464903754995887e-07
69.5,1.119735563249383e-06
69.6,3.7324518774979435e-07
69.7,1.4929807509991774e-06
69.8,3.7324518774979435e-07
69.9,7.464903754995887e-07
70.0,7.464903754995887e-07
70.1,3.7324518774979435e-07
70.2,1.119735563249383e-06
70.3,3.7324518774979435e-07
70.5,3.7324518774979435e-07
70.6,3.7324518774979435e-07
70.7,7.464903754995887e-07
70.8,7.464903754995887e-07
70.9,7.464903754995887e-07
71.0,7.464903754995887e-07
71.2,1.4929807509991774e-06
71.3,7.464903754995887e-07
71.5,3.7324518774979435e-07
71.6,3.7324518774979435e-07
71.7,7.464903754995887e-07
71.8,3.7324518774979435e-07
71.9,1.119735563249383e-06
72.1,3.7324518774979435e-07
72.2,3.7324518774979435e-07
72.3,7.464903754995887e-07
72.8,3.7324518774979435e-07
72.9,3.7324518774979435e-07
73.0,7.464903754995887e-07
73.1,3.7324518774979435e-07
73.2,3.7324518774979435e-07
73.3,3.7324518774979435e-07
73.5,3.7324518774979435e-07
