tau,energy
21.1,0.3022808718729337
21.2,0.3746934494414107
21.3,0.0
21.4,-0.45198512374305744
21.5,-0.45953232937844
21.6,-0.1823215567939546
21.7,0.0
21.8,-0.17185025692665928
21.9,0.04879016416943205
22.0,-0.723918839226699
22.1,0.38776553100876343
22.2,0.044451762570833796
22.3,0.3364722366212129
22.4,-0.1823215567939546
22.5,0.0
22.6,0.0
22.7,0.6931471805599453
22.8,0.5753641449035618
22.9,-0.2076393647782445
23.0,0.5260930958967792
23.1,-0.325422400434628
23.2,0.3566749439387324
23.3,-1.3121863889661687
23.4,-0.060624621816434854
23.5,-0.08701137698962969
23.6,0.5596157879354225
23.7,0.3184537311185346
23.8,0.10536051565782635
23.9,0.3364722366212129
24.0,0.6931471805599453
24.1,-0.2623642644674911
24.2,0.6505875661411494
